technology ,temperature_C ,reaction_time_min ,pressure_bar ,feedstock_type                                                                                                                                                                                   ,agent_ratio ,H2_yield_mol_kg ,CO_yield_mol_kg ,CO2_yield_mol_kg ,CH4_yield_mol_kg ,carbon_efficiency_pct ,energy_input_kW ,reactor_type ,study_reference                           ,notes
unknown    ,              ,                  ,             ,general                                                                                                                                                                                          ,            ,           1.23 ,                ,                 ,                 ,                      ,                ,             ,scw_gasification_hydrogen_yield           ,extracted_from_scw_gasification_hydrogen_yield_20250729_182551.md
plasma     ,              ,                  ,             ,"biomass, plastic_waste, coal_and_charcoal"                                                                                                                                                      ,            ,                ,                ,                 ,                 ,                      ,                ,             ,plasma_gasification_carbon_monoxide_yield ,extracted_from_plasma_gasification_carbon_monoxide_yield_20250729_185312.md
steam      ,              ,                  ,             ,general                                                                                                                                                                                          ,            ,          61.20 ,                ,                 ,                 ,                      ,                ,             ,steam_gasification_carbon_monoxide_yield  ,extracted_from_steam_gasification_carbon_monoxide_yield_20250729_210335.md
steam      ,              ,                  ,             ,general                                                                                                                                                                                          ,            ,                ,           0.96 ,                 ,                 ,                      ,                ,             ,steam_gasification_carbon_monoxide_yield  ,extracted_from_steam_gasification_carbon_monoxide_yield_20250729_185436.md
scw        ,              ,                  ,             ,general                                                                                                                                                                                          ,            ,          19.41 ,          17.20 ,                 ,                 ,                      ,                ,             ,scw_gasification_carbon_monoxide_yield    ,extracted_from_scw_gasification_carbon_monoxide_yield_20250729_210014.md
co2        ,              ,                  ,             ,biomass                                                                                                                                                                                          ,            ,                ,                ,                 ,                 ,                      ,                ,             ,co2_gasification_carbon_monoxide_yield    ,extracted_from_co2_gasification_carbon_monoxide_yield_20250729_205810.md
plasma     ,              ,                  ,             ,"sawdust, wood_pellets, plastic_waste, municipal_waste, rdf, hdpe, municipal_waste, coal, charcoal, glycerol, oil, plastics, waste_cooking_oil, olive_pomace_charcoal, plastic_waste, see_below" ,            ,                ,                ,                 ,                 ,                      ,                ,             ,plasma_gasification_carbon_monoxide_yield ,extracted_from_plasma_gasification_carbon_monoxide_yield_20250729_190600.md
plasma     ,              ,                  ,             ,"methane, ammonia, c7h8, c2h6o, c7h16"                                                                                                                                                           ,            ,                ,                ,                 ,                 ,                      ,                ,             ,plasma_gasification_hydrogen_yield        ,extracted_from_plasma_gasification_hydrogen_yield_20250728_173035.md
scw        ,              ,                  ,             ,general                                                                                                                                                                                          ,            ,          12.32 ,          10.65 ,                 ,                 ,                      ,                ,             ,co2_gasification_hydrogen_yield           ,extracted_from_co2_gasification_hydrogen_yield_20250728_172758.md
steam      ,        650.0 ,                  ,             ,corn_cob                                                                                                                                                                                         ,            ,          61.20 ,                ,                 ,                 ,                      ,                ,             ,steam_gasification_hydrogen_yield         ,extracted_from_steam_gasification_hydrogen_yield_20250728_172453.md
